Date,Open,High,Low,Close,Adj Close,Volume,NextClose,Num
2020-02-25,96.559998,97,94.449997,94.580002,94.580002,5117500,93.650002,175
2020-02-26,94.68,95.660004,93.440002,93.650002,93.650002,4371300,91.239998,176
2020-02-27,92.830002,93.32,91.160004,91.239998,91.239998,5855500,90.160004,177
2020-02-28,89.440002,90.5,87.480003,90.160004,90.160004,6958100,93.290001,178
2020-03-02,90.279999,93.360001,88.980003,93.290001,93.290001,5160600,89.370003,179
2020-03-03,92.629997,93.919998,88.769997,89.370003,89.370003,5702000,93.809998,180
2020-03-04,90.43,93.959999,90.25,93.809998,93.809998,5222200,89.860001,181
2020-03-05,91.610001,93.160004,89.190002,89.860001,89.860001,4941300,87.860001,182
2020-03-06,86.099998,88.279999,85.419998,87.860001,87.860001,5978500,79.75,183
2020-03-09,83.269997,84.889999,79.580002,79.75,79.75,7946600,84.980003,184
2020-03-10,81.980003,85.010002,80.209999,84.980003,84.980003,6713600,86.449997,185
2020-03-11,82.860001,87.830002,82.849998,86.449997,86.449997,8840300,76.760002,186
2020-03-12,82.019997,85,76.410004,76.760002,76.760002,9075300,85.389999,187
2020-03-13,80.150002,85.519997,76.610001,85.389999,85.389999,7401700,76.529999,188
2020-03-16,78.339996,80.550003,74.839996,76.529999,76.529999,6787700,78.349998,189
2020-03-17,77.599998,80.400002,75.449997,78.349998,78.349998,7609100,74.32,190
2020-03-18,74.599998,76.099998,63.5,74.32,74.32,11114200,79.449997,191
2020-03-19,74.769997,81.989998,73.610001,79.449997,79.449997,8906200,74.550003,192
2020-03-20,80,82,73.160004,74.550003,74.550003,6836600,75.699997,193
2020-03-23,74.980003,76.660004,70.830002,75.699997,75.699997,8328800,78.650002,194
2020-03-24,78.5,79.709999,75.830002,78.650002,78.650002,5929100,79.169998,195
2020-03-25,77.769997,85.470001,77.75,79.169998,79.169998,6252700,84.629997,196
2020-03-26,80,84.989998,79.730003,84.629997,84.629997,4821300,81.720001,197
2020-03-27,82.540001,83.900002,81.019997,81.720001,81.720001,4309600,83.120003,198
2020-03-30,82.290001,83.860001,81.239998,83.120003,83.120003,5625200,83.900002,199
2020-03-31,83.040001,84.75,81.980003,83.900002,83.900002,6920600,85.129997,200
2020-04-01,82.989998,86.709999,82.699997,85.129997,85.129997,11018800,84.410004,201
2020-04-02,85.050003,88.519997,84.019997,84.410004,84.410004,22956100,81.980003,202
2020-04-03,84.559998,84.989998,81.040001,81.980003,81.980003,8378500,86.089996,203
2020-04-06,84.489998,86.489998,82.989998,86.089996,86.089996,5256300,86.510002,204
2020-04-07,87.660004,87.910004,85.169998,86.510002,86.510002,4410100,86.849998,205
2020-04-08,86.599998,87.639999,86,86.849998,86.849998,3831600,85.900002,206
2020-04-09,86.879997,87.75,84.93,85.900002,85.900002,5770900,86.169998,207
2020-04-13,84.589996,87.279999,84.470001,86.169998,86.169998,3955700,89.620003,208
2020-04-14,87.190002,89.940002,86.400002,89.620003,89.620003,4787100,88.540001,209
2020-04-15,87.919998,89.389999,87.099998,88.540001,88.540001,5804000,90.269997,210
2020-04-16,89.110001,90.580002,88.07,90.269997,90.269997,4796400,90.989998,211
2020-04-17,92.75,93.300003,89.860001,90.989998,90.989998,3847500,89.940002,212
2020-04-20,89.580002,91.730003,89.050003,89.940002,89.940002,3508700,87.220001,213
2020-04-21,89.25,89.889999,86.099998,87.220001,87.220001,3946400,90.160004,214
2020-04-22,89.879997,90.650002,88.279999,90.160004,90.160004,4261900,90.339996,215
2020-04-23,90.68,91.879997,89.290001,90.339996,90.339996,4537100,90.800003,216
2020-04-24,90.389999,91,89.010002,90.800003,90.800003,3564100,90.910004,217
2020-04-27,91.32,91.379997,89.019997,90.910004,90.910004,3726300,87.940002,218
2020-04-28,91.239998,91.410004,87.889999,87.940002,87.940002,3356500,89.309998,219
2020-04-29,89.040001,90.029999,87.970001,89.309998,89.309998,3110700,87.800003,220
2020-04-30,88.900002,89.019997,87.300003,87.800003,87.800003,3935600,86.199997,221
2020-05-01,87.739998,88.110001,85.809998,86.199997,86.199997,3162000,88.959999,222
2020-05-04,86.769997,88.970001,86.059998,88.959999,88.959999,4212200,88.970001,223
2020-05-05,88.779999,89.769997,88.440002,88.970001,88.970001,3020100,86.589996,224
2020-05-06,89.220001,89.730003,86.410004,86.589996,86.589996,3840900,95.290001,225
2020-05-07,90.349998,95.400002,90.230003,95.290001,95.290001,10442000,98.519997,226
2020-05-08,96.639999,98.769997,95.029999,98.519997,98.519997,4851100,96.720001,227
2020-05-11,96.480003,97.459999,95.980003,96.720001,96.720001,3732800,94.610001,228
2020-05-12,96.18,96.669998,94.550003,94.610001,94.610001,3773600,92.779999,229
2020-05-13,94.389999,94.529999,91.5,92.779999,92.779999,3256900,94.910004,230
2020-05-14,92.540001,95.07,92.160004,94.910004,94.910004,3990100,97.32,231
2020-05-15,95.019997,97.669998,93.730003,97.32,97.32,6715500,101.900002,232
2020-05-18,98.160004,102.730003,98.07,101.900002,101.900002,6392800,98.599998,233
2020-05-19,98.410004,99.760002,96.150002,98.599998,98.599998,21394500,98.139999,234
2020-05-20,99.139999,99.800003,97.800003,98.139999,98.139999,5978700,94.389999,235
2020-05-21,98.75,98.75,93,94.389999,94.389999,5586900,95.800003,236
2020-05-22,94.540001,96.720001,94.349998,95.800003,95.800003,4849300,95.57,237
2020-05-26,96.919998,97.239998,94.459999,95.57,95.57,5007200,97.199997,238
2020-05-27,95.660004,98.169998,95.059998,97.199997,97.199997,4540400,99.220001,239
2020-05-28,97.519997,99.830002,97.150002,99.220001,99.220001,5457700,100.040001,240
2020-05-29,99.269997,100.400002,97.32,100.040001,100.040001,9792500,99.699997,241
2020-06-01,99.959999,101,99.32,99.699997,99.699997,2903300,100.410004,242
2020-06-02,98.660004,100.5,98.510002,100.410004,100.410004,4720200,101.209999,243
2020-06-03,100.910004,102.349998,100.440002,101.209999,101.209999,3756300,100.169998,244
2020-06-04,101.540001,101.690002,99.790001,100.169998,100.169998,2534100,101.129997,245
2020-06-05,101.300003,102.970001,100.5,101.129997,101.129997,3957900,104.459999,246
2020-06-08,100.739998,105.110001,100.440002,104.459999,104.459999,5043500,103.190002,247
2020-06-09,102.18,103.540001,101.769997,103.190002,103.190002,5037000,105.790001,248
2020-06-10,102.809998,106.720001,102.809998,105.790001,105.790001,6273500,100.889999,249
2020-06-11,104.510002,105.309998,100.739998,100.889999,100.889999,7689300,102.309998,250
2020-06-12,104.25,105.050003,100.260002,102.309998,102.309998,5288500,104.68,251
2020-06-15,101.32,105.190002,100.730003,104.68,104.68,3842000,102.889999,252
2020-06-16,104,104,100.110001,102.889999,102.889999,5766100,103.1,253
